"Sexo","Ingresos","Gastos","Balance","TieneDeuda","EdadPrestamo","MontoPrestado","Cuotas","DarPrestamo","Prediccion_Lasso","Prediccion_Ridge"
"F",2979,1222,1757,1,64,1221,4,"0",0.000784616696588918,0.153270960297022
"F",2662,1305,1357,0,49,932,4,"1",0.999430268629375,0.925790904792412
"M",2847,1396,1451,0,45,883,8,"1",0.999430268629375,0.914709088003892
"M",1788,894,894,1,41,626,8,"0",0.000784616696588918,0.117289042124947
"F",2455,1203,1252,1,57,786,4,"0",0.000784616696588918,0.144271660738366
"F",2040,796,1244,0,72,796,4,"1",0.999430268629375,0.921277362041883
"M",2548,1300,1248,0,66,764,4,"1",0.999430268629375,0.926638016775796
"F",2097,1028,1069,0,52,629,8,"1",0.999430268629375,0.906316682687083
"F",1852,908,944,0,44,648,8,"1",0.999430268629375,0.904297619684136
"M",2754,1267,1487,1,30,1074,8,"0",0.000784616696588918,0.128779238932431
"F",1512,636,876,0,31,454,8,"1",0.999430268629375,0.898618965646672
"F",2274,1047,1227,0,36,864,4,"1",0.999430268629375,0.922100886499138
"F",2422,969,1453,0,45,775,8,"1",0.999430268629375,0.907873321549162
"F",1766,848,918,0,44,565,4,"1",0.999430268629375,0.917609952491607
"F",1851,796,1055,1,33,722,8,"0",0.000784616696588918,0.114877121243831
"F",1898,779,1119,1,44,626,4,"0",0.000784616696588918,0.134461243690269
"F",1938,873,1065,1,32,756,4,"0",0.000784616696588918,0.136043410724286
"F",2091,941,1150,0,42,711,4,"1",0.999430268629375,0.920143839018654
"F",2653,1221,1432,1,41,875,8,"0",0.000784616696588918,0.124141550562406
"F",2158,907,1251,1,34,863,8,"0",0.000784616696588918,0.118615616827389
"F",1839,736,1103,1,30,754,8,"0",0.000784616696588918,0.114449298621698
"M",2590,1244,1346,0,63,984,4,"1",0.999430268629375,0.927771235777085
"F",1836,772,1064,1,60,588,8,"0",0.000784616696588918,0.115193734376807
"F",1845,923,922,0,41,609,4,"1",0.999430268629375,0.918475404049955
"F",2765,1328,1437,1,44,912,4,"0",0.000784616696588918,0.147548423270514
"F",2991,1287,1704,1,31,927,4,"0",0.000784616696588918,0.14738785313656
"F",2904,1365,1539,0,39,1074,4,"1",0.999430268629375,0.927283144729538
"F",1640,738,902,1,32,525,8,"0",0.000784616696588918,0.111515751870452
"F",1876,751,1125,0,44,675,4,"1",0.999430268629375,0.918192077646046
"F",1598,624,974,1,60,495,4,"0",0.000784616696588918,0.131389182242984
"F",2061,928,1133,0,35,824,4,"1",0.999430268629375,0.920430097048289
"F",2217,1087,1130,0,46,732,4,"1",0.999430268629375,0.921725859783914
"F",2470,1013,1457,0,41,889,8,"1",0.999430268629375,0.909028981857765
"F",2088,1065,1023,0,33,752,4,"1",0.999430268629375,0.920690383893557
"F",2132,1024,1108,1,30,810,4,"0",0.000784616696588918,0.138895576660508
"F",2292,917,1375,0,41,756,4,"1",0.999430268629375,0.920896888567753
"F",2686,1182,1504,0,39,860,4,"1",0.999430268629375,0.924213641089788
"F",1644,707,937,0,53,559,4,"1",0.999430268629375,0.916800572131629
"F",2913,1486,1427,0,37,1136,4,"1",0.999430268629375,0.928264924501865
